,EVENTID,DATE_TIME_CLOSED,ACT_DATE_TIME_OPENED,SR,DIRECTION,geometry,index_right,Name
181992,287661,10/2/2016 1:15,10/2/2016 17:43,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
188509,289941,10/14/2016 10:00,10/14/2016 13:47,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
195095,292189,10/29/2016 9:45,10/29/2016 16:55,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
197615,293079,11/3/2016 14:00,11/5/2016 5:40,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
200463,294044,11/11/2016 3:32,11/11/2016 16:00,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
205723,295803,11/26/2016 1:50,11/26/2016 2:19,0579  (I - 579),NORTH,POINT (1343937.194512328 410367.0493400626),4,CONSOL Energy Center
205992,295882,11/28/2016 4:04,11/28/2016 6:52,6579  (HOV LN TO/FR MELLON AR RD),BOTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
206372,296013,11/29/2016 8:57,11/29/2016 12:59,0579  (I - 579),SOUTH,POINT (1343937.194512328 410367.0493400626),4,CONSOL Energy Center
210546,297395,12/9/2016 11:11,12/9/2016 16:03,6579  (HOV LN TO/FR MELLON AR RD),SOUTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
213974,298371,12/16/2016 14:45,12/16/2016 15:54,6579  (HOV LN TO/FR MELLON AR RD),NORTH,POINT (1344858.246707007 412097.4554212799),4,CONSOL Energy Center
220438,300313,1/4/2017 18:16,1/4/2017 19:18,0579  (I - 579),NORTH,POINT (1344591.678138997 411993.1481819279),4,CONSOL Energy Center
