timestamp,Temperature,DewPoint,Humidity,Wind_spd,Wind_gust,Visibility,Pressure,Wind_chill_temperature,Heat_index,Precipitation_intensity,Pavement_condition,Fog,Rain,Snow,Icon,Hour,Date,Time
2016-09-26_00,59,46,62,4.6,0,10,30.07,0,0,0,dry,0,0,0,clear,00,2016-09-26,0:00
2016-09-26_01,57.9,46.9,67,5.8,0,10,30.06,0,0,0,dry,0,0,0,clear,01,2016-09-26,1:00
2016-09-26_02,57.9,46.9,67,5.8,0,10,30.04,0,0,0,dry,0,0,0,clear,02,2016-09-26,2:00
2016-09-26_03,57,46.9,69,4.6,0,10,30.03,0,0,0,dry,0,0,0,clear,03,2016-09-26,3:00
2016-09-26_04,55.9,46.9,72,3.5,0,10,30.02,0,0,0,dry,0,0,0,clear,04,2016-09-26,4:00
2016-09-26_05,55,48,77,5.8,0,10,30.01,0,0,0,dry,0,0,0,clear,05,2016-09-26,5:00
2016-09-26_06,53.1,48.9,86,6.9,0,10,30.01,0,0,0,dry,0,0,0,clear,06,2016-09-26,6:00
2016-09-26_07,55.9,48.9,77,6.9,0,10,30,0,0,0,dry,0,0,0,clear,07,2016-09-26,7:00
2016-09-26_08,61,51.1,70,8.1,0,10,30,0,0,0,dry,0,0,0,clear,08,2016-09-26,8:00
2016-09-26_09,64,53.1,67,6.9,0,10,29.99,0,0,0,dry,0,0,0,mostlycloudy,09,2016-09-26,9:00
2016-09-26_10,71.1,55.9,59,8.1,0,10,29.98,0,0,0,dry,0,0,0,clear,10,2016-09-26,10:00
2016-09-26_11,75.9,60.1,58,10.4,0,10,29.96,0,0,0,dry,0,0,0,partlycloudy,11,2016-09-26,11:00
2016-09-26_12,79,61,54,11.5,19.6,10,29.94,0,0,0,dry,0,0,0,partlycloudy,12,2016-09-26,12:00
2016-09-26_13,73.9,63,68,16.1,27.6,1.2,29.94,0,0,0.08,wet,0,1,0,rain,13,2016-09-26,13:00
2016-09-26_14,73,62.1,68,9.2,20.7,8,29.93,0,0,0,dry,0,0,0,partlycloudy,14,2016-09-26,14:00
