,stop_id,geometry,index_right,Name
8,N38570,POINT (1349613.615454541 425878.6869867225),20,Millvale
9,N71282,POINT (1350001.235742367 425547.1412899044),20,Millvale
10,N24080,POINT (1350397.258173656 425239.4420823777),20,Millvale
11,N24000,POINT (1351091.169686674 424693.2187562779),20,Millvale
284,N38430,POINT (1350176.669467453 426845.1511447991),20,Millvale
289,N17300,POINT (1351276.529466628 424816.1054558805),20,Millvale
537,N24030,POINT (1351084.972476817 424767.7155555635),20,Millvale
565,N38660,POINT (1349819.257512173 426066.6467439672),20,Millvale
653,N23940,POINT (1350077.970679735 425544.480038657),20,Millvale
701,N24040,POINT (1350846.692942722 424875.3792620671),20,Millvale
702,N38440,POINT (1350252.070789794 426756.5214086787),20,Millvale
729,N24090,POINT (1350473.269776548 425241.173300015),20,Millvale
2500,N38540,POINT (1349952.247610628 426342.0760525482),20,Millvale
2835,N24020,POINT (1349666.533896318 425847.4712327901),20,Millvale
13,P01040,POINT (1342741.728439839 412489.5236492086),3,Heinz Hall
14,P02310,POINT (1342368.324649914 412039.8696447392),3,Heinz Hall
23,P00920,POINT (1342134.578929755 412744.0512567659),3,Heinz Hall
37,P00930,POINT (1342209.684698782 412326.3361965595),3,Heinz Hall
38,P02290,POINT (1341819.489892063 411862.9059336255),3,Heinz Hall
39,P00760,POINT (1341600.142588335 412563.4459401017),3,Heinz Hall
61,P02670,POINT (1343299.852433404 412332.1004615082),3,Heinz Hall
136,P02320,POINT (1342623.892566515 412115.3526871232),3,Heinz Hall
270,P02860,POINT (1342270.934909153 412326.2327910288),3,Heinz Hall
336,P00940,POINT (1342252.568501891 412195.5105248205),3,Heinz Hall
349,P02865,POINT (1342525.257461041 412407.5771716287),3,Heinz Hall
350,P02550,POINT (1342431.467115265 411993.8018305857),3,Heinz Hall
351,P02490,POINT (1343221.928145786 412245.8942877408),3,Heinz Hall
403,P02910,POINT (1343072.025008347 412591.5327980586),3,Heinz Hall
414,P02600,POINT (1342857.375998429 412132.729444282),3,Heinz Hall
478,P02890,POINT (1342819.38498702 412510.5044222464),3,Heinz Hall
609,P00615,POINT (1342845.910156411 411059.0835898661),3,Heinz Hall
610,P00650,POINT (1342399.794698157 411297.1137686069),3,Heinz Hall
611,P00580,POINT (1341890.66533567 411575.0229318191),3,Heinz Hall
612,P70024,POINT (1341175.218059707 412005.0697887858),3,Heinz Hall
749,P03660,POINT (1341891.048234345 410771.1079766774),3,Heinz Hall
750,P03695,POINT (1342139.20979779 411254.5583114054),3,Heinz Hall
751,P00740,POINT (1342823.358477711 411660.5818647429),3,Heinz Hall
761,P03690,POINT (1342439.478358251 411783.693230544),3,Heinz Hall
765,P03145,POINT (1342535.394891671 410947.4626756687),3,Heinz Hall
770,P03090,POINT (1342928.31381169 411671.0286911388),3,Heinz Hall
858,P03315,POINT (1341065.254473918 411285.9653771675),3,Heinz Hall
947,P02280,POINT (1342245.171670557 411938.0557907443),3,Heinz Hall
948,P02270,POINT (1341573.38591735 411776.6215570819),3,Heinz Hall
949,P02650,POINT (1340676.418169146 411683.6377040815),3,Heinz Hall
974,P03360,POINT (1341196.566526621 411510.7384529335),3,Heinz Hall
982,P02830,POINT (1341480.55937194 412088.7452508325),3,Heinz Hall
991,P02470,POINT (1341716.386135791 411761.3121775272),3,Heinz Hall
996,P02430,POINT (1340889.178941349 411587.0981099939),3,Heinz Hall
1061,P03440,POINT (1341143.691315345 411980.7298403109),3,Heinz Hall
1161,P00850,POINT (1343245.738866565 412131.225788737),3,Heinz Hall
1356,P70027,POINT (1341968.334850732 411913.0441322338),3,Heinz Hall
1357,P00590,POINT (1342071.718636316 411414.0715427341),3,Heinz Hall
1358,P00600,POINT (1342620.634510542 411123.8559486099),3,Heinz Hall
1393,P00710,POINT (1342975.681501119 411628.6436901218),3,Heinz Hall
1394,P00750,POINT (1342496.334413849 411884.2815999318),3,Heinz Hall
1692,P03490,POINT (1341042.57080293 411335.3765857955),3,Heinz Hall
1760,P00860,POINT (1343383.500199978 412019.4888292616),3,Heinz Hall
2196,P00610,POINT (1342717.680530499 411129.7659612236),3,Heinz Hall
2917,P01240,POINT (1341308.91339398 410807.0952351718),3,Heinz Hall
2918,P01290,POINT (1340952.08728765 410997.6852787011),3,Heinz Hall
2919,P00375,POINT (1341281.006635655 411186.4375948791),3,Heinz Hall
2920,P00390,POINT (1341864.172032202 410885.4915904332),3,Heinz Hall
3765,P01230,POINT (1341216.048166195 410790.5159042779),3,Heinz Hall
13,P01040,POINT (1342741.728439839 412489.5236492086),12,David L. Lawrence Convention Center
23,P00920,POINT (1342134.578929755 412744.0512567659),12,David L. Lawrence Convention Center
37,P00930,POINT (1342209.684698782 412326.3361965595),12,David L. Lawrence Convention Center
61,P02670,POINT (1343299.852433404 412332.1004615082),12,David L. Lawrence Convention Center
136,P02320,POINT (1342623.892566515 412115.3526871232),12,David L. Lawrence Convention Center
183,P01620,POINT (1344514.807314935 412493.6295865033),12,David L. Lawrence Convention Center
270,P02860,POINT (1342270.934909153 412326.2327910288),12,David L. Lawrence Convention Center
277,N05890,POINT (1342191.206050182 414157.2780323399),12,David L. Lawrence Convention Center
346,P01600,POINT (1344491.114639944 412437.7466495489),12,David L. Lawrence Convention Center
349,P02865,POINT (1342525.257461041 412407.5771716287),12,David L. Lawrence Convention Center
