START_TIME,END_TIME,POI
10/13/16 20:00,10/13/16 22:50,CONSOL Energy Center
10/15/16 19:00,10/15/16 21:40,CONSOL Energy Center
10/17/16 19:00,10/17/16 21:40,CONSOL Energy Center
10/20/16 19:00,10/20/16 21:30,CONSOL Energy Center
10/25/16 19:00,10/25/16 21:20,CONSOL Energy Center
10/27/16 19:00,10/27/16 21:40,CONSOL Energy Center
11/08/16 19:00,11/08/16 21:30,CONSOL Energy Center
11/10/16 19:00,11/10/16 21:30,CONSOL Energy Center
11/12/16 19:00,11/12/16 21:20,CONSOL Energy Center
11/21/16 19:00,11/21/16 21:20,CONSOL Energy Center
11/26/16 19:00,11/26/16 22:00,CONSOL Energy Center
12/01/16 19:00,12/01/16 21:30,CONSOL Energy Center
12/03/16 19:00,12/03/16 21:30,CONSOL Energy Center
12/05/16 19:00,12/05/16 21:50,CONSOL Energy Center
12/12/16 19:00,12/12/16 21:30,CONSOL Energy Center
12/14/16 19:30,12/14/16 22:10,CONSOL Energy Center
12/16/16 19:00,12/16/16 21:30,CONSOL Energy Center
12/20/16 19:00,12/20/16 21:20,CONSOL Energy Center
12/23/16 19:00,12/23/16 21:30,CONSOL Energy Center
12/28/16 19:00,12/28/16 21:30,CONSOL Energy Center
12/31/16 19:00,12/31/16 21:40,CONSOL Energy Center
01/08/17 17:00,01/08/17 19:30,CONSOL Energy Center
01/16/17 19:00,01/16/17 21:50,CONSOL Energy Center
01/22/17 15:00,01/22/17 17:40,CONSOL Energy Center
01/24/17 19:00,01/24/17 21:30,CONSOL Energy Center
01/31/17 19:00,01/31/17 21:40,CONSOL Energy Center
02/03/17 19:00,02/03/17 21:30,CONSOL Energy Center
02/07/17 19:00,02/07/17 21:40,CONSOL Energy Center
02/14/17 19:00,02/14/17 21:30,CONSOL Energy Center
02/16/17 19:00,02/16/17 21:40,CONSOL Energy Center
02/19/17 15:00,02/19/17 17:30,CONSOL Energy Center
02/25/17 20:00,02/25/17 22:40,CONSOL Energy Center
03/03/17 19:00,03/03/17 21:20,CONSOL Energy Center
03/05/17 17:00,03/05/17 19:40,CONSOL Energy Center
03/17/17 19:00,03/17/17 21:40,CONSOL Energy Center
03/19/17 13:00,03/19/17 15:30,CONSOL Energy Center
03/24/17 19:00,03/24/17 21:50,CONSOL Energy Center
03/26/17 19:00,03/26/17 21:30,CONSOL Energy Center
03/29/17 20:00,03/29/17 22:30,CONSOL Energy Center
04/02/17 17:00,04/02/17 19:30,CONSOL Energy Center
04/04/17 19:00,04/04/17 21:20,CONSOL Energy Center
